region,period,revenue,new_customers,active_customers,repeat_customers,repeat_rate,refund_amount,revenue_per_customer,return_rate
CENTRAL,2012-07,36857127.06,1441,1441,95,0.0659264399722415,1240099.22,25577.46499653019,0.033646117289099414
CENTRAL,2012-08,37789157.49,1464,1645,126,0.07659574468085106,1571835.0,22972.13221276596,0.0415948675335233
CENTRAL,2012-09,30307000.95,1027,1314,91,0.06925418569254185,1080556.43,23064.688698630136,0.03565369043880932
CENTRAL,2012-10,25649424.51,749,1027,70,0.06815968841285297,1126427.87,24975.09689386563,0.04391630188665001
CENTRAL,2012-11,22168335.47,656,960,67,0.06979166666666667,1107524.41,23092.016114583334,0.04995974603049437
CENTRAL,2012-12,27047607.54,1010,1489,140,0.09402283411685695,745114.55,18164.947978509066,0.027548260928367495
CENTRAL,2013-01,22629553.57,531,917,65,0.07088331515812432,783853.8300000001,24677.811962922573,0.03463850170863093
CENTRAL,2013-02,25884223.61,678,1159,81,0.06988783433994823,1201757.31,22333.238662640208,0.046428176796298355
CENTRAL,2013-03,35574671.02,954,1696,140,0.08254716981132075,1448000.44,20975.631497641512,0.04070312945932619
CENTRAL,2013-04,50618023.65,1205,2401,253,0.10537276134943774,1715280.82,21082.058996251562,0.033886760017743205
CENTRAL,2013-05,50861481.68,1007,2208,208,0.09420289855072464,1870065.11,23035.09134057971,0.03676780636800355
CENTRAL,2013-06,49380901.25,913,2289,207,0.09043250327653997,2159810.15,21573.13291830494,0.04373776288661803
CENTRAL,2013-07,38230991.41,709,1928,174,0.09024896265560166,1250997.02,19829.352391078835,0.03272206589109744
CENTRAL,2013-08,28374932.76,678,1997,192,0.09614421632448673,1062995.53,14208.779549323986,0.03746248630757989
CENTRAL,2013-09,28781531.11,423,1430,114,0.07972027972027972,1330363.56,20126.944832167832,0.04622282097903304
CENTRAL,2013-10,26004209.86,326,1106,65,0.05877034358047016,849535.04,23511.943815551538,0.0326691349044512
CENTRAL,2013-11,19393803.59,268,930,56,0.060215053763440864,615349.95,20853.55224731183,0.031729203977155465
CENTRAL,2013-12,14656441.540000001,463,1424,140,0.09831460674157304,702764.47,10292.444901685394,0.0479491879445657
CENTRAL,2014-01,19744950.08,235,906,53,0.05849889624724062,593613.71,21793.543134657833,0.03006407752842493
CENTRAL,2014-02,24098908.169999998,232,932,61,0.06545064377682404,981709.97,25857.197607296137,0.0407366990684707
CENTRAL,2014-03,41719311.0,533,1881,170,0.09037745879851143,1481300.24,22179.325358851675,0.03550634477160948
CENTRAL,2014-04,57563480.14,688,2520,288,0.11428571428571428,2790260.2600000002,22842.650849206348,0.04847275135578695
CENTRAL,2014-05,62047067.97,625,2430,265,0.10905349794238683,2208996.28,25533.772827160494,0.03560194465704743
CENTRAL,2014-06,50446480.25,487,2165,227,0.1048498845265589,1439285.31,23300.91466512702,0.02853093620937013
CENTRAL,2014-07,38465688.81,449,1939,156,0.08045384218669417,1579591.86,19837.90036616813,0.041064957079082656
CENTRAL,2014-08,50825113.51,438,2049,173,0.084431429965837,1421464.64,24804.83821864324,0.027967761247012706
CENTRAL,2014-09,28144866.09,258,1388,96,0.069164265129683,1037774.64,20277.281044668587,0.036872608904283476
CENTRAL,2014-10,25089981.96,193,1016,59,0.058070866141732284,879757.54,24694.864133858267,0.035064096156089866
CENTRAL,2014-11,17040674.71,172,886,60,0.06772009029345373,653433.69,19233.26716704289,0.038345529218778214
CENTRAL,2014-12,16060685.67,254,1397,142,0.10164638511095204,691958.5,11496.553808160343,0.04308399493133222
CENTRAL,2015-01,19999603.25,137,826,48,0.05811138014527845,736792.84,24212.594733656173,0.036840372820895834
CENTRAL,2015-02,26466120.080000002,176,1147,50,0.043591979075850044,655336.17,23074.211054925894,0.0247613238366294
CENTRAL,2015-03,37883663.85,326,1706,129,0.07561547479484174,1282235.56,22206.13355803048,0.033846661850791396
CENTRAL,2015-04,59153028.11,484,2608,290,0.1111963190184049,2864822.46,22681.37580904908,0.04843069833504759
CENTRAL,2015-05,58087550.36,389,2346,209,0.08908780903665814,2433408.86,24760.251645353794,0.04189208952553254
CENTRAL,2015-06,51264564.13,318,2080,177,0.08509615384615385,2100528.2,24646.425062500002,0.040974272104866524
CENTRAL,2015-07,37925166.03,302,1851,153,0.08265802269043761,1675386.44,20489.01460291734,0.044176113525111964
CENTRAL,2015-08,27110369.54,291,1890,200,0.10582010582010581,1110296.99,14344.110867724867,0.04095469773518993
CENTRAL,2015-09,33014686.83,269,1772,154,0.08690744920993228,1635464.02,18631.313109480812,0.049537468836865536
CENTRAL,2015-10,32383796.54,171,1302,78,0.059907834101382486,1259707.1400000001,24872.34757296467,0.038899303805964444
CENTRAL,2015-11,19743705.39,129,1015,71,0.06995073891625615,639808.34,19451.926492610837,0.03240568714746204
CENTRAL,2015-12,18076404.62,195,1472,160,0.10869565217391304,822655.9,12280.166182065219,0.045509929507209716
CENTRAL,2016-01,26833521.39,139,1066,83,0.07786116322701689,1313573.07,25172.158902439023,0.04895269058832982
CENTRAL,2016-02,30864879.58,152,1151,55,0.04778453518679409,1161694.78,26815.707715030407,0.03763807913097324
CENTRAL,2016-03,43123315.78,217,1757,138,0.07854297097324986,2111534.79,24543.71985202049,0.04896503786425674
CENTRAL,2016-04,64895482.24,350,2712,306,0.11283185840707964,2712249.35,23929.012625368734,0.04179411657608787
CENTRAL,2016-05,65169955.81,292,2487,252,0.10132689987937274,2673289.67,26204.24439485324,0.04102027746948076
CENTRAL,2016-06,63679757.86,270,2497,240,0.09611533840608731,2243040.64,25502.506151381658,0.03522376207728878
CENTRAL,2016-07,40393491.29,219,1886,144,0.07635206786850478,1640268.71,21417.545752916223,0.04060725274336642
CENTRAL,2016-08,58314110.06,244,2089,203,0.09717568214456677,2166613.96,27914.84445189086,0.03715419746217079
CENTRAL,2016-09,30669454.58,129,1410,90,0.06382978723404255,1097848.95,21751.38622695035,0.03579616804518993
CENTRAL,2016-10,29929308.94,95,1126,70,0.06216696269982238,1100821.04,26580.20332149201,0.03678070356408303
CENTRAL,2016-11,21794879.19,103,1036,64,0.06177606177606178,547576.08,21037.528175675678,0.02512407043996099
CENTRAL,2016-12,17880336.69,154,1406,142,0.10099573257467995,902285.47,12717.166920341395,0.05046244294183925
